"filename", "language", "YAML", "Go Module File", "Ignore", "JSON", "Markdown", "Docker", "Go", "Go Checksum File", "MS SQL", "comment", "blank", "total"
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/jobs/migrations.go", "Go", 0, 0, 0, 0, 0, 0, 33, 0, 0, 21, 11, 65
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/jobs/restore_backups.go", "Go", 0, 0, 0, 0, 0, 0, 51, 0, 0, 4, 13, 68
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/jobs/resume_generator.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 27, 5, 33
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/logging/set_logs.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 11, 50
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/main.go", "Go", 0, 0, 0, 0, 0, 0, 197, 0, 0, 43, 51, 291
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/metrics/metrics.go", "Go", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/admin_auth.go", "Go", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 10, 47
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/admin_tenant.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 24, 4, 29
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/audit.go", "Go", 0, 0, 0, 0, 0, 0, 1, 0, 0, 54, 14, 69
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/auth.go", "Go", 0, 0, 0, 0, 0, 0, 72, 0, 0, 16, 19, 107
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/auth_point_sale.go", "Go", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/block_access.go", "Go", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/current_plan.go", "Go", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/current_tenant.go", "Go", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/injection_depends.go", "Go", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/injection_depends_tennat.go", "Go", 0, 0, 0, 0, 0, 0, 19, 0, 0, 92, 23, 134
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/loggin.go", "Go", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 10, 26
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/middleware/role_permission.go", "Go", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 36
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/auth.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 9, 30
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/cash_register.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/category.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/client.go", "Go", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/deposit.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/expense_buy.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/expense_other.go", "Go", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 13, 77
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/income_other.go", "Go", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 13, 62
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/income_sale.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/member.go", "Go", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
